"id","public_id","company_id","lh_id","profile_url","name","logo","type","phone","website","tagline","staff_count","staff_count_range_start","staff_count_range_end","follower_count","description","founded_on","headquarter_country","headquarter_city","headquarter_geographic_area","headquarter_line1","headquarter_line2","headquarter_postal_code","industries","specialities","tags","add_to_target_date","result_created_at","2ad97e0007af4fd4c264b510ff816acb"
"avid-technology","avid-technology","3249","10930","https://www.linkedin.com/company/avid-technology/","Avid","https://media-exp1.licdn.com/dms/image/C4D0BAQFfThjcXajIzA/company-logo_400_400/0/1623126405430?e=1638403200&v=beta&t=HQ7a8N93ouLCheb3NRzzPJs4aemWhLFrl1Y4Tx7CMRo","PUBLIC_COMPANY",,"http://www.avid.com","Avid | Powering Greater Creators","1608","1001","5000","134915","We help media visionaries create art that colors our perceptions and enriches our culture. We make innovative technology and collaborative tools that inspire and spark joy so creators can entertain, inform, educate and enlighten the world.  We believe in our artists. We believe in our industry leaders. And we believe in the future of entertainment. We have a rich, 30-year history of powering media and entertainment. But we know our history doesn’t determine our future, so we are always evolving, committed to making good better and better best.  We make many products, but we only do one thing: maximize the mediums of amazing makers. At Avid, every minute, of every day, we are powering greater creators.","1987","US","Burlington","MA","75 Network Drive",,"01803","Computer Software","Digital,Software,Platform,Technology,Media,entertainment,music creation,video editing,broadcast,live sound,music notation,media management,hardware,news,sports,graphics,post production,storage,television,film",,"2021-08-30T16:16:30.424Z","2021-08-30T17:34:29.879Z","67772adb495dd0d2bb993ad6e4bdf900"
"axs-com","axs-com","3256279","8595","https://www.linkedin.com/company/axs-com/","AXS","https://media-exp1.licdn.com/dms/image/C560BAQFW1r7j-PGftg/company-logo_400_400/0/1542831269751?e=1638403200&v=beta&t=qCdw1jwZ6CcGqQkFpE6va6Io_iouFCjF4xTpoNCwdCc","PRIVATELY_HELD",,"http://www.axs.com/careers","We keep the world cheering","407","201","500","8368","AXS connects fans with the artists and teams they love. Each year we sell millions of tickets to thousands of incredible events – from concerts and festivals to sports and theater – at some of the most iconic venues in the world. Since our founding in 2011, we’ve consistently pushed the industry forward and improved experiences for fans, making it easier than ever to discover events, find the perfect seats, and enjoy unforgettable live entertainment, and we continue to lead the evolution of our industry today.   Headquartered in Downtown Los Angeles, California, we also work in wonderful offices throughout the US, the UK, and Europe. At each location you’ll find a team of dedicated, diverse employees (we’ve dubbed ourselves “Fanatix”) who create groundbreaking products and services in a fun, fast-paced environment. We love what we do along with our fantastic culture, enviable perks, and comprehensive benefits.    We’re passionate about improving the fan experience and providing game-changing solutions for our clients, and we’re always looking for smart, motivated people to help make it happen. Bring your enthusiasm, your big ideas, and your desire to team up with some of the best and brightest in technology and entertainment. Together we keep the world cheering.  ","2011","US","Los Angeles","CA","425 W. 11th Street","Suite # 100","90015","Entertainment","Technology,entertainment,Ticketing",,"2021-08-30T16:16:30.424Z","2021-08-30T17:35:20.476Z","20bee6971f948b85a86acc7ac7107c70"
"azility","azility","19079555","10931","https://www.linkedin.com/company/azility/","Azility","https://media-exp1.licdn.com/dms/image/C560BAQFiRNkyttAw3Q/company-logo_400_400/0/1552870496733?e=1638403200&v=beta&t=Qwq9d319apm7RwJd4uZGV_nzw29tTNCZy7Y2mIaNjBs","PRIVATELY_HELD","1300 721 113","https://www.azility.co/","Smarter energy management in one elegant platform. It’s powerful simplicity.","14","11","50","245","At Azility (the new Planet Footprint!), we’re chasing a new vision for the future of energy – for businesses, people and the planet. We’ve poured kinetic innovation into our next-generation energy management software, powering energy, water and emissions savings across every asset and department for organisations large and small.  We’re more than just an innovative software platform that delivers superior energy business intelligence for our clients. Our people and our culture are geared towards partnering with you to chase your energy, water and emissions management goals. Your wins are our wins.  We lead the market in Australia and the US, and with good reason. We never stand still, continuously improving so you can too.","2006","AU","North Wollongong","NSW","iAccelerate, Innovation Campus, Squires Way",,"2500","Information Technology & Services",,,"2021-08-30T16:16:30.424Z","2021-08-30T17:36:25.771Z","0ac21fad837bfe00f84ce5b29f374db2"
"beautycounter","beautycounter","2898968","8504","https://www.linkedin.com/company/beautycounter/","Beautycounter","https://media-exp1.licdn.com/dms/image/C560BAQEU8vCRbMiCIg/company-logo_400_400/0/1625156511194?e=1638403200&v=beta&t=W5fb4L_vN-5M9HUISduytLnRzW_lHojHVQ3qQWu4EzI","PRIVATELY_HELD",,"http://www.beautycounter.com","Our Mission: To get safer products into the hands of everyone.","4718","51","200","47870","Beautycounter’s mission is to get safe products into the hands of everyone. We’re a beauty brand dedicated to radical transparency, and our Ingredient Selection Process sets a new standard for health and safety while ensuring our products are effective and beautiful.  As a direct retail brand, we distribute our products through relationship networks and online. Our social sales platform enables entrepreneurship and creates an exceptional business opportunity. The convenience of our ecommerce site serves as a comprehensive educational resource and allows customers to shop with us directly.  We’re committed to challenging the current industry, empowering people to make informed choices, and ultimately helping create a safer and healthier world for everyone.  Want to join an intelligent, collaborative team that has a lot of fun together and is making a powerful impact on the cosmetics industry? Then take a look at the exciting careers we have available here at Beautycounter! http://www.beautycounter.com/careers/","2013","US","Santa Monica","California","1733 Ocean Ave","400","90401","Consumer Goods",,,"2021-08-30T16:16:30.424Z","2021-08-30T17:36:58.151Z","a9ce65a4db994254cd07f24ac0735f7b"
"betterup","betterup","3806620","10932","https://www.linkedin.com/company/betterup/","BetterUp","https://media-exp1.licdn.com/dms/image/C560BAQG4XUt5iTZiNQ/company-logo_400_400/0/1519907555217?e=1638403200&v=beta&t=GHCKyZSgxejzmoCowel6cxFNcAn7UeLz3f8GHeXY9Vs","PRIVATELY_HELD",,"https://www.betterup.com/","BetterUp helps organizations drive transformation through lasting behavior change for all your key people.","1658","201","500","64985","At BetterUp, we’re bringing powerful transformation to individuals and workforces everywhere. Our mission? To unlock greater clarity, potential, purpose, and passion for every one of our members, with an innovative approach to coaching and leadership development.  The BetterUp experience brings together world-class coaching, AI technology, and behavioral science experts to deliver change at scale — improving personal and organizational resilience, adaptability, wellbeing, and productivity. The results? Individual transformation meets organizational growth.   Our proven effectiveness creates positive change for your business and your people. Using our proprietary algorithm and research, we create hyper-personalized experiences that motivate and inspire your people. Watch your organization transform with real-time data analytics and unparalleled human insights that create critical awareness into your workforce and demonstrate measurable results across 25 key leadership dimensions.  Interested in joining our team?  See open positions: https://www.betterup.co/jobs","2013","US","San Francisco","CA","267 8th St.",,,"Professional Training & Coaching","Human Resources,Career Development,Learning and Development,Talent Development,Professional Coaching",,"2021-08-30T16:16:30.424Z","2021-08-30T17:37:36.692Z","0eb1aa6144f3a34574fb28aa87a0bda4"
"beverly-hospital","beverly-hospital","27709","10933","https://www.linkedin.com/company/beverly-hospital/","Beverly Hospital","https://media-exp1.licdn.com/dms/image/C4D0BAQGrrrlt7UK7EQ/company-logo_400_400/0/1625150737110?e=1638403200&v=beta&t=6CjwVhrWe1MBoCu5TwYGJH_aIF8RnC0eFXWQ0tLYRbA","NON_PROFIT",,"http://www.beverlyhospital.org",,"1232","501","1000","6518","Beverly Hospital, part of Beth Israel Lahey Health, is a full service, community hospital providing quality, patient-centered care to North Shore and Cape Ann residents. Services include maternity, pediatrics, surgical, orthopedics, cardiology, rehabilitation as well as other specialties. The hospital boasts a medical staff of more than 600 physicians and its service area includes 13 communities. Beverly Hospital is a member of Lahey Health.","1888","US","Beverly","MA","85 Herrick Street",,"01915","Hospital & Health Care","hospital,healthcare,health,community care,population health",,"2021-08-30T16:16:30.424Z","2021-08-30T17:37:53.152Z","33ac6f1f1b29e1b63ab11f2ebf6968ed"
"bigeye-data","bigeye-data","19032876","10934","https://www.linkedin.com/company/bigeye-data/","Bigeye","https://media-exp1.licdn.com/dms/image/C560BAQEHKVgzMPSDNw/company-logo_400_400/0/1605564569988?e=1638403200&v=beta&t=eDL6EycJ50_oJtmf6NIHVwVQu8ZG6pc8ns2JJsXkq18","PRIVATELY_HELD",,"https://www.bigeye.com/","The data reliability engineering platform","25","11","50","804","Bigeye is the data reliability engineering platform that helps data teams build trust in data. Data teams use Bigeye to automate their data observability, detect anomalies, accelerate root cause analysis, and build trust in the data.  Bigeye deploys in under 15 minutes and enables teams to continuously monitor over 50 data quality attributes, define custom monitoring, and proactively detect and resolve issues, all with a SOC2 compliant and low-impact platform that never copies or exports their data.","2019","US","San Francisco","CA",,,"94014","Computer Software","AI,Data Science,Data Analytics,Data Management,Data Engineering,ML,Data Quality",,"2021-08-30T16:16:30.424Z","2021-08-30T17:38:56.901Z","7288d95841541a92c4ec621baeaf19dc"
"bigriocareers","bigriocareers","26997767","10935","https://www.linkedin.com/company/bigriocareers/","BigR.io Careers","https://media-exp1.licdn.com/dms/image/C4D0BAQF1ZXsrz2LbAQ/company-logo_400_400/0/1519908626177?e=1638403200&v=beta&t=PpKmo_J7n9cvvpjpBU2QbRRguWhx79Mow586cI5JVHI","PUBLIC_COMPANY",,"http://bigr.io/careers",,,"11","50","382","At BigR.io, our innovative engineering teams revolutionize cutting-edge Big Data, Machine Learning, and Custom Software. Join our elite team today!",,"US","Boston","MA","One Boston Place","Suite 2600","02108","Information Technology & Services",,,"2021-08-30T16:16:30.424Z","2021-08-30T17:40:01.224Z","461800d6f1a29161c8c2c0ef7aaf9330"
"blue-state","blue-state","32391","10936","https://www.linkedin.com/company/blue-state/","Blue State","https://media-exp1.licdn.com/dms/image/C4D0BAQEY9mBpSblFUg/company-logo_400_400/0/1563307530552?e=1638403200&v=beta&t=fr1Vt499F4rCOgjCenT1Sd5SFm5SjQeN-IhJLT7nr_w","PRIVATELY_HELD",,"http://www.bluestate.co/","Hi, we’re Blue State: a partner to leading causes, campaigns, and companies, and we’re here to hasten progress.","178","201","500","14023","We believe there’s no force more powerful than people taking collective action on the things they care about. When an organization wants to mobilize people around a common purpose, they come to us.   We don’t pretend to have all the answers, but we know where to find them: in people. We listen, learn, and uncover new insights that often surprise us and our clients — and move us toward better results.   Blue State got its start on the campaign trail, pioneering the use of digital to open up the democratic process. Our new approach caught on, and we set out to do more good: raising millions more for nonprofits, shaping legislation and public opinion, and connecting consumers with brands. While our approach is continually evolving, our ethos has never changed:  Make good trouble. When the status quo stands in the way of progress, we challenge it.  Be curious. We ask the tough questions and let the data lead to answers.  Put people first. We let the user drive the program, not the other way around.  Drive real change. We obsess over outcomes and actions.  If you need it, build it. We make stuff that empowers people to act on the things they care about.  Walk the walk. Progress starts with us: our diversity, inclusion, and commitment to values over profits.","2004","US","Brooklyn","New York","41 Flatbush Ave",,"11217","Marketing & Advertising","Website Design and Development,Audience Insights,Data & Systems Integration,CRM Strategy,Community Growth & Activation,Technology & Data Strategy,Fundraising,Branding,Content Marketing,Video and Photography",,"2021-08-30T16:16:30.424Z","2021-08-30T17:41:03.457Z","8859596fc31b0fab2dc9770f47259233"
"bluecore","bluecore","3119015","10937","https://www.linkedin.com/company/bluecore/","Bluecore","https://media-exp1.licdn.com/dms/image/C560BAQFngJvbT07bwg/company-logo_400_400/0/1626282778512?e=1638403200&v=beta&t=eYORVk06ELnmVegNF1QOZlAGqWuz2HP0UWRVUGX2gV8","PRIVATELY_HELD",,"http://www.bluecore.com","Intelligently connect casual shoppers to the products that transform them into lifetime customers.","328","51","200","9867","Bluecore is a marketing technology company that’s reimagining the way retailers communicate with shoppers. Working with the world’s fastest-growing retail brands, Bluecore intelligently connects casual shoppers to the products that transform them into lifetime customers. Through the recent launch of Bluecore Communicate™ and Bluecore Site™, retailers are now able to personalize 100% of consumer communications delivered by email and throughout the ecommerce shopping experience. Bluecore replaces manual processes with an intelligent, AI-driven workflow, allowing retailers to manage their full email programs and all on-site communications through a single interface that optimizes for content, offer, and timing. The company has also pioneered the industry’s first shared success pricing model. As a result, the Bluecore platform doubles email revenue, reduces production time, and increases customer retention and lifetime value for more than 400 brands, including Staples, Tommy Hilfiger, The North Face, TomboyX, Bass Pro Shops. To learn more visit www.bluecore.com.","2013","US","New York",,"116 Nassau St",,"10038","Marketing & Advertising","Marketing,Digital Marketing,Email Marketing,Marketing Automation,eCommerce Retention,Personalization,Audiences,eCommerce Marketing",,"2021-08-30T16:16:30.424Z","2021-08-30T17:42:22.565Z","2a0c0244223e3cb16faf37b898cf0fd4"
"bol-com","bol-com","11699","10938","https://www.linkedin.com/company/bol-com/","bol.com","https://media-exp1.licdn.com/dms/image/C560BAQHxdrFFwmdbMQ/company-logo_400_400/0/1560243954004?e=1638403200&v=beta&t=aqunobuppN_VwtPJ1dEeA8-k8phzc3RJX7S7b4fEnV8","PRIVATELY_HELD",,"https://banen.bol.com/","Samen veranderen we retail om het dagelijks leven makkelijker te maken","3774","1001","5000","87435","Bol.com is the largest online retailer in the Netherlands and Belgium. In 1999 we opened our virtual doors as first online bookstore in the Netherlands. Nowadays we’re working with 2.000 colleagues to deliver the best shopping platform ever. To be able to do this we have expanded our shopping platform in the 20 years of our existence. 2010 was the beginning of bol.com in Belgium. The first step towards our southern neighbors. And we opened our shopping platform to other retailers, for our customers to be able to find ‘everything’ on bol.com. Since 2016 it is possible for our partners to advertise via bol.com. And in 2017 Huub Vermeulen opened the doors of our bol.com fulfilment center. Shortly: together with 2.000 bol.commers we work to make the daily lives of our customer easier.   ",,"NL","Utrecht",,"Papendorpseweg 100",,"3528 BJ","Retail","Tech,Retail,entertainment,eCommerce,Books,Electronics",,"2021-08-30T16:16:30.424Z","2021-08-30T17:43:05.483Z","42969e6e79fe86729c11428834da95e7"
"bombinate","bombinate","17874349","10939","https://www.linkedin.com/company/bombinate/","Bombinate","https://media-exp1.licdn.com/dms/image/C4D0BAQE1xbtO1H3vTg/company-logo_400_400/0/1619695451648?e=1638403200&v=beta&t=upQ2xjPgQ43j7-chgHetbomdoa3aQiSa5NU8pMLQwNI","PRIVATELY_HELD",,"http://www.bombinate.com","Connecting people to makers and the planet through curated quality pieces and authentic stories","36","11","50","2786","The way we shop is changing. It is shifting online, via small, local, and sustainable brands. Unfortunately, a highly fragmented supply and flawed distribution mean consumers and quality artisan brands are not benefitting from this trend.  Bombinate is a vertical marketplace for quality artisan brands and modern lifestyle consumers, bridging the gap between those who care, and brands that are committed to craftsmanship and sustainability. At Bombinate, we are enabling the trust and relationships needed to connect those two sides of the market.","2018","GB","London","England","10 Redchurch Street",,"E2 7DJ","Internet","E-commerce,Tech,Retail,marketplace,Content,Menswear,Furniture,Startup,Craftsmanship,Local Supply Chains",,"2021-08-30T16:16:30.424Z","2021-08-30T17:44:11.022Z","e7b13be62ed044578581945ed1ffbe5b"
"bonobos","bonobos","434092","5998","https://www.linkedin.com/company/bonobos/","Bonobos","https://media-exp1.licdn.com/dms/image/C4E0BAQFZnmw2xfHUQQ/company-logo_400_400/0/1629728572925?e=1638403200&v=beta&t=YenLdWO9t9mQm_XLkOTAv8z5xiw6y_4N7sdAZ41GEHo","PRIVATELY_HELD",,"http://www.bonobos.com",,"497","201","500","20968","Starting with a great fit and personalized experience, Bonobos gives people the confidence to express their style and personality with joy and irreverence. Launched online in 2007 with its signature line of chinos, Bonobos now offers a full wardrobe of better-fitting clothing for every body and occasion, with styles available to order online and to try on at any one of their 60+ Guideshop locations — IRL stores that deliver one-on-one service and expert fit advice. And in 2012, Bonobos expanded its distribution partnering with Nordstrom, bringing apparel into all doors nationwide and to Nordstrom.com.  Named “One of America’s Hottest Brands” by Advertising Age, and twice awarded Crain’s “Best Places to Work in New York City”, Bonobos is a name found on many impressive résumés. The Bonobos team is vibrant, collaborative, and inclusive. We value self-awareness, empathy, intellectual honesty, positive energy, and judgment, often over experience. We’ve created a culture where collaboration and communication are paramount, all while making time for fun and celebrating extraordinary efforts.  To view and apply to jobs available at Bonobos, please visit our website and job board: http://www.bonobos.com/jobs","2007","US","New York","NY","45 West 25th Street","5th Floor","10010","Retail","We offer well-crafted, great-fitting clothing and a top-notch shopping experience that's simple and painless.",,"2021-08-30T16:16:30.424Z","2021-08-30T17:45:15.750Z","476e5f0f40cbb3f8723f70e9e8fc8f89"
"boral","boral","8479","10941","https://www.linkedin.com/company/boral/","Boral","https://media-exp1.licdn.com/dms/image/C560BAQEtmPi5KWit6A/company-logo_400_400/0/1563317799265?e=1638403200&v=beta&t=JLJFCxrJoKb-qf8iNgA2POgc7Rlbe3DRuWjTO14sDoI","PUBLIC_COMPANY",,"http://www.boral.com.au/","Build Something Great™","2363","10001",,"43321","With over 12,000 employees working across some 550 operating sites and 150 distribution and administration sites in 13 countries, Boral Limited is an international building and construction materials group, headquartered in Sydney, Australia. Boral’s competitive position is underpinned by leading market positions in construction materials and cement in Australia; plasterboard in Australia and Asia; and cladding and roof tiles in the USA.   Boral has three operating divisions:  • Boral Australia  • Boral USA  • Boral Gypsum - representing our 50% share of the USG Boral joint venture","1946","AU",,,,,,"Building Materials",,,"2021-08-30T16:16:30.424Z","2021-08-30T17:46:14.188Z","58bd9740f208b9017795d1317040d84a"
"boxed-com","boxed-com","3173921","10942","https://www.linkedin.com/company/boxed-com/","Boxed","https://media-exp1.licdn.com/dms/image/C4E0BAQFYhsY5jWq64Q/company-logo_400_400/0/1557949533403?e=1638403200&v=beta&t=SN1Z5A7xeevCzNFviDdXYOqOBPQlnAYH2MD3D_O_n_Y","PRIVATELY_HELD",,"http://www.boxed.com","Bringing Family-Sized Value Right to Your Doorstep.","206","201","500","9832","Bringing Family-Sized Value Right to Your Doorstep.  Bigger sizes mean bigger savings, with or without membership fees.  Get the essentials your family needs delivered in bulk by Boxed.  Don't run out.  Trust in Boxed to be there for you.  Culture: NBC Nightly News called our CEO, Chieh Huang, “America’s Dream Boss” for the benefits he extends to employees. Our generous company benefits have been featured on GMA, Today, CNN, The Huffington Post, and more.   As digital natives, Boxed brings the best of technology to you via the web or mobile app; and uses advanced machine learning to continually improve the end-to-end customer experience  Boxed was named one of the best places to work by Crain’s New York Business in 2016. Boxed is headquartered in SoHo and has three fulfillment centers around the country: in New Jersey, Nevada, and Texas, which allow orders to be delivered within two days. We also have a small office in San Mateo, California.  Tech: Our state-of-the-art fulfillment centers make headlines, just like our Autonomously Driving Vehicles (named after members of the Wu-Tang Clan) and robotics. The bigger news? We automated our main fulfillment center without cutting human jobs because we believe that technology should improve the human experience – and that includes the experience of the amazing team we’re building at Boxed.  Press:  Boxed has been featured on Business Insider, CNN, Huffington Post,  Fortune, CNBC, Fox Business, Forbes, Fast Company, TechCrunch, CNet, Quartz, New York Post, VentureBeat, Entrepreneur and Nightly Business Report.","2013","US","New York",,"451 Broadway",,,"Consumer Goods","SaaS,eCommerce,Startup,Mobile Technology,Mobile Apps,Wholesale,Mobile Commerce,grocery delivery,Home Delivery,B2C,B2B",,"2021-08-30T16:16:30.424Z","2021-08-30T17:46:19.933Z","f3a19656871ddc2aef82342a7fdb5042"
"brightwheel","brightwheel","6449047","10943","https://www.linkedin.com/company/brightwheel/","brightwheel","https://media-exp1.licdn.com/dms/image/C560BAQEC1meBkf-zAw/company-logo_400_400/0/1519911027290?e=1638403200&v=beta&t=yHp_GhD0Hu2jNdI5UTtPa1BDo2pF6tU0BNH5TYV4nQ4","PRIVATELY_HELD",,"https://www.mybrightwheel.com","#1 platform for early education","267","51","200","5070","Brightwheel is the fastest growing and top reviewed product in early education globally. The team includes former Amazon, eBay, LinkedIn, OpenTable, Square, Zendesk, Twitter, and Zynga team members - and investors include Bessemer Venture Partners, Chan Zuckerberg Initiative, GGV Capital, ICONIQ, Lowercase Capital, and Mark Cuban. We're hiring!  Open Positions: https://jobs.lever.co/brightwheel Shark Tank Pitch: https://www.youtube.com/watch?v=5iKitGJeAZ4 ",,"US","San Francisco","California","275 Battery Street",,"94111","Education Management","SaaS,Education,Daycare,preschool,Mobile & Web Tool,Child Care,Mobile,Web,edtech,early education",,"2021-08-30T16:16:30.424Z","2021-08-30T17:46:48.817Z","ccb8d5bae19999fb480c9db3067cb735"
"brndaddo","brndaddo","72086786","10944","https://www.linkedin.com/company/brndaddo/","Brndaddo","https://media-exp1.licdn.com/dms/image/C4D0BAQFQE66ECcCfLA/company-logo_400_400/0/1623732411133?e=1638403200&v=beta&t=rzD4yd1b2_9BW1XNBZXkmO5BXHE_qNnBzr5IcPoy1PA","PRIVATELY_HELD","+91 9654654816","https://www.brndaddo.com/","Simplifying Brand Control.","2","11","50","135","The first of its kind Brand Asset Management Solution, Brndaddo makes each step of the process smoother for you with AI. ​  Brndaddo is a Cloud-Based SaaS Solution, which stores, shares, and showcases your assets that define your brand. With its intuitive tool powered by AI, Brndaddo has helped different companies achieve total control by letting them provide a consistent image of their brands, across different channels and platforms to their target audiences.  ​  We provide a solution for Brand Asset Management that has proven to be effective in Simplifying Brand Control.  ​  Discover. Create. Collaborate. Control. ","2019","IN","Gurgaon","Haryana","112-A, First Floor","Centrum Plaza","122002","Marketing & Advertising",,,"2021-08-30T16:16:30.424Z","2021-08-30T17:47:41.807Z","c9421fafceb4870ae5ba26128c6a6c86"
"brooksource","brooksource","18476","10945","https://www.linkedin.com/company/brooksource/","Brooksource","https://media-exp1.licdn.com/dms/image/C4D0BAQEpBYagiK3vWA/company-logo_400_400/0/1519856551676?e=1638403200&v=beta&t=8LPSm0aynE-61q1lcy-xWN25RPCk1ZnlfgTFg8ly8QU","PRIVATELY_HELD",,"http://www.brooksource.com",,"1513","1001","5000","529810","At Brooksource, our business is people. Relationships are at the center of everything we do. A successful partnership is only as strong as the relationship built. Since 2000, Brooksource has established and maintained relationships with our clients, consultants, and internal employees in an effort to create an unparalleled experience.  We’re your trusted partner for delivering on technology initiatives through Experience-Driven Staffing. We provide technology solutions ranging from contingent labor to Managed & Professional Services, and our Workforce Transformation programs, Elevate and Project Patriot, which addresses workforce talent gaps. With a growing national presence, Brooksource is working to redefine what to expect from an IT services provider.   Brooksource provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, national origin, age, sex, citizenship, disability, genetic information, gender, sexual orientation, gender identity, marital status, amnesty or status as a covered veteran in accordance with applicable federal, state, and local laws ","2000","US","Indianapolis","Indiana","8365 Keystone Crossing","Suite 104","46240","Information Technology & Services","Information Technology,IT Services,Technical Recruiting,Technical Staffing,Staff Augmentation,Networking,Building Relationships,Staffing Services,Talent Aquisition,Screening Resumes,Contract Recruitment,Contract-to-Hire Recruitment,Permanent Placement,Managed Services,Professional Services",,"2021-08-30T16:16:30.424Z","2021-08-30T17:48:58.457Z","b840c2803376908f03360a63dd996e10"
"bungalow-living","bungalow-living","17980268","10946","https://www.linkedin.com/company/bungalow-living/","Bungalow","https://media-exp1.licdn.com/dms/image/C4E0BAQHzPutfmDCTFg/company-logo_400_400/0/1629170115730?e=1638403200&v=beta&t=i9nnGBXCucjyVYFQcgD5H9i9lj7kkfGRtD9MJHp_qkc","PRIVATELY_HELD",,"https://bungalow.com/","We create space and connect communities so people can live richer lives together ","173","51","200","10081","Bungalow is rethinking the residential real estate market by providing renters with a more convenient, flexible, and communal living solution.   We take the daily hassle out of leasing so our members have more time to do the things they're passionate about. Bungalow offers private bedrooms for renters with roommates they love in beautifully furnished homes across ten major cities. Each home comes furnished and includes wifi, utilities, housekeeping, and monthly community events for our members.   Interested in learning more, reach out! careers@livebungalow.com  https://bungalow.com/","2017","US","San Francisco","California","1 Letterman Drive","Building C, Suite P500","94129","Real Estate","real estate,Technology,Startup,Housing,Community,Experiences,Living,coliving",,"2021-08-30T16:16:30.424Z","2021-08-30T17:49:11.626Z","9530470ec0dc2bb3c6ae9642781489e1"
"butterflymx","butterflymx","5261738","10947","https://www.linkedin.com/company/butterflymx/","ButterflyMX®","https://media-exp1.licdn.com/dms/image/C4D0BAQFSPbAPdGTRew/company-logo_400_400/0/1530643834381?e=1638403200&v=beta&t=_GtPP1MDHxVh0hadUGT-WUXD8TvBQ6SB4RBSh7ugLpE","PRIVATELY_HELD","(571) 480-6579","https://butterflymx.com/","We make property access simple for 5,500+ multifamily, student housing, gated community, and commercial properties.","149","51","200","8965","ButterflyMX is your complete property access solution, providing a secure, convenient, and affordable way to manage and grant access on the go. Empower your tenants and building staff to open doors, gates, and elevators with a smartphone and ensure they never miss a visitor or delivery. Enjoy easy installation and cut costs by eliminating building wiring and in-unit hardware, and save time by integrating with popular access control and property management systems. Join the 5,500+ multifamily, commercial, gated community, and student housing properties that have made access simple with ButterflyMX.","2012","US","New York","New York","127 W 26th St","6th Floor","10001","Computer Software","Smartphone Security,Property Management Software,Video Intercom,Touchscreen,Application Development,Multi Family Real Estate,Commercial Office Real Estate,proptech,cretech,access control,property management",,"2021-08-30T16:16:30.424Z","2021-08-30T17:49:38.811Z","173ef0437845523f232a8f3205fdd840"
"bux","bux","3320903","10948","https://www.linkedin.com/company/bux/","BUX","https://media-exp1.licdn.com/dms/image/C4E0BAQEfkM3U7mqBWQ/company-logo_400_400/0/1617702364322?e=1638403200&v=beta&t=4gCGuFWS209Nv67skCxzLLEMhzMiB4zm5vEipT5MVmc","PRIVATELY_HELD",,"https://getbux.com/","Do More With Your Money","218","51","200","9527","With over 500,000 clients, BUX is Europe's fastest-growing neo-broker and has been making it easy and affordable for Europeans to do more with their money since 2014. BUX's flagship platform, BUX Zero, is making commission-free investing accessible, intuitive, and affordable for both first time and existing investors allowing them to invest in a large suite of shares or ETFs they care about. BUX Zero is currently available in the Netherlands, Germany, Austria, France and Belgium. The full range of BUX products, including BUX Crypto which allows users to invest in real cryptocurrencies, and BUX X, where users can trade in contracts for difference (CFDs), are available across multiple countries in Europe. Headquartered in Amsterdam, the Netherlands, BUX is backed by some of the most prominent international Venture Capital firms.","2014","NL","Amsterdam",,"Spuistraat 114-b",,"1012VA","Financial Services","mobile app,Investments,Trading,FinTech,Stocks,Zero-commission",,"2021-08-30T16:16:30.424Z","2021-08-30T17:49:44.160Z","754c92db9b8c2f8a4b51db04e3fe0b90"
"c2fo","c2fo","1555109","10949","https://www.linkedin.com/company/c2fo/","C2FO","https://media-exp1.licdn.com/dms/image/C4E0BAQGpjxPuu5ccPg/company-logo_400_400/0/1610429540214?e=1638403200&v=beta&t=ajhMBkFQK_C6J1r3t8cpENqwQtHWLTmch8eCwYh6YEs","PRIVATELY_HELD",,"http://www.c2fo.com","C2FO is working capital. Working for everyone.","720","201","500","25623","Our mission is to deliver a future where every company in the world has the capital needed to grow.   C2FO's convenient, easy-to-use platform enables companies to work with their suppliers and customers to improve cash flow by determining the best time and terms for paying or getting paid.   Today, C2FO is the world’s largest market for working capital. We serve over one million businesses representing $10.5 trillion in annual sales across 183 countries. Our online platform connects more than $110 billion of daily accounts payable and accounts receivable.  By providing cost-effective access to working capital, we’re bringing fairness, transparency and, above all, opportunity to the world’s growing businesses. Because we believe that when every business has a fair chance to thrive, we all benefit.  ","2008","US","Leawood","KS","2020 West 89th Street ","Second floor","66206","Financial Services","Working Capital Efficiency,Cash Flow Optimization,DSO Reduction,Early Cash Flow Delivery",,"2021-08-30T16:16:30.424Z","2021-08-30T17:49:48.767Z","36887e280e73a780bbcac3eba848f8ba"
