id,public_id,company_id,lh_id,profile_url,name,logo,type,phone,website,tagline,staff_count,staff_count_range_start,staff_count_range_end,follower_count,description,founded_on,headquarter_country,headquarter_city,headquarter_geographic_area,headquarter_line1,headquarter_line2,headquarter_postal_code,industries,specialities,tags,add_to_target_date,result_created_at, a2ad97e0007af4fd4c264b510ff816acb
"hometogo","hometogo","9359057","11043","https://www.linkedin.com/company/hometogo/","HomeToGo","https://media-exp1.licdn.com/dms/image/C4E0BAQGJiD3znrXYCg/company-logo_400_400/0/1623823994504?e=1638403200&v=beta&t=Nfd1eQ7OgL4fe0YntAvB-dEv_cP06iajGNjXCfshRL0","PRIVATELY_HELD",,"https://www.hometogo.com","The World's Largest Selection of Vacation Rentals","268","201","500","6860","HomeToGo: a company built around the idea of making it easy to find the perfect accommodation for any trip. Since its founding in 2014, HomeToGo has evolved to have the world's largest selection of vacation rentals, listing millions of offers from thousands of trusted partners. HomeToGo employs more than 250 people and manages 23 local apps & websites across Europe, North America, South America, Australia and Asia-Pacific. HomeToGo also operates brands such as Tripping.com, CASAMUNDO and Wimdu.","2014","DE","Berlin","Berlin","Pappelallee 78/79, 10437 Berlin",,"10437","Internet","travel,Short Term Rentals",,"2021-08-30T16:16:30.424Z","2021-09-01T18:04:46.361Z","83b20ff248a0a0599f4185f38aa13a26"
"horizon-media","horizon-media","15637","8272","https://www.linkedin.com/company/horizon-media/","Horizon Media","https://media-exp1.licdn.com/dms/image/C4D0BAQFJ07INbOPnkw/company-logo_400_400/0/1628620504879?e=1638403200&v=beta&t=EnBLfIHUNYCwowI2pfaHCqoNXxwKjENZb4cS7bWCrQw","PRIVATELY_HELD",,"http://www.horizonmedia.com","Business is Personal","2524","1001","5000","106113","Horizon Media is a leader in driving business-based outcomes for marketers. The company was founded in 1989, is headquartered in New York, and has offices in Los Angeles and Toronto. With estimated billings of $8.7 billion and over 2,300 employees, Horizon is the third largest U.S. media agency according to COMvergence data.  Recognized as one of the world’s ten most innovative marketing and advertising companies by Fast Company, Horizon Media has been named Media Agency of the Year by MediaPost, Adweek and AdAge and is known for its highly personal approach to client service. Renowned for its culture, Horizon is also consistently named to all the prestigious annual Best Places to Work lists published by Fortune, Forbes, AdAge, Crain’s New York Business and Los Angeles Business Journal; including “Best Workplaces for Diversity,” “Best Workplaces for Women,” and “Best Workplaces for Millennials” honors.  Bill Koenigsberg, President, CEO and Founder of Horizon Media, has earned almost every industry accolade and, in 2019, garnered the marketing’s highest honor when he was inducted into the American Advertising Federation (AAF) Hall of Fame.  TOGETHER WE'RE BUILDING A PLACE OF BELONGING At Horizon, diversity, equity and inclusion are pillars of our culture. Numerous studies show that a more diverse workplace benefits everyone in so many ways; employees, organizations and their clients. When people feel that they belong and are included, they become committed and feel empowered to be more innovative. And that is the workforce we strive to have.  We welcome everyone and do not discriminate based on gender, race, religion, sexual orientation, age or disability. We want you to feel welcomed, safe and know that you’re a vital member of our community.  For more information, visit: www.horizonmedia.com or www.horizonmedia.com/careers.","1989","US","New York","New York","75 Varick Street",,"10013","Marketing & Advertising","SEO,Mobile,Sports and Entertainment,Social Media ,Media Buying,Direct Marketing,Social Design,Social Buying,Insights & Analytics,Virtual/Augmented Reality ,National & Local TV Investment,Audio Investment,Creative Services",,"2021-08-30T16:16:30.424Z","2021-09-01T18:06:23.935Z","dfe73db8a01ecf9882814930ecb921f2"
"horizontal-talent","horizontal-talent","29289303","11044","https://www.linkedin.com/company/horizontal-talent/","Horizontal Talent","https://media-exp1.licdn.com/dms/image/C560BAQEZX3ynUQuAAA/company-logo_400_400/0/1625160516427?e=1638403200&v=beta&t=Rvu1PeDy5EGSypDDz5OzAx9nxp8ePN6Nm09cVEPHZu8","PRIVATELY_HELD","612-392-7580","http://www.horizontaltalent.com","We believe great opportunities exist for everyone.","205","201","500","129311","We connect talent with the companies shaping today’s world. Digital Marketing. Business & Strategy. IT. Explore opportunities and access talent ⬇️","2003","US","St Louis Park","MN","1660 MN-100","200","55416","Staffing & Recruiting",,,"2021-08-30T16:16:30.424Z","2021-09-02T22:30:38.745Z","92a8c445c72e3d85bbff2e70ab979a15"
"hp","hp","5390798","2268","https://www.linkedin.com/company/hp/","HP","https://media-exp1.licdn.com/dms/image/C4E0BAQG7QQ9R5G-dOQ/company-logo_400_400/0/1625118297340?e=1639008000&v=beta&t=uemuJFsIi4awBZlVglHs7Bb40sl0yzi9Q-2CznF_5ZQ","PUBLIC_COMPANY",,"http://www.hp.com",,"174236","10001",,"4731829","Engineering experiences that amaze. We create technology with a purpose: to make life better for everyone, everywhere.  Keep Reinventing.",,"US","Palo Alto","CA","1501 Page Mill Road",,"94304","Information Technology & Services",,,"2021-08-30T16:16:30.424Z","2021-09-02T22:31:59.823Z","1247d21b25058fe153f37ead52ce9c7a"
"hubspot","hubspot","68529","10465","https://www.linkedin.com/company/hubspot/","HubSpot","https://media-exp1.licdn.com/dms/image/C560BAQFhSyJmEbHWJw/company-logo_400_400/0/1519875026111?e=1638403200&v=beta&t=UqvUMVqOuOfZwEnTzDSEUs82E2DMcO5dlpdUg9VrTgc","PUBLIC_COMPANY",,"https://www.hubspot.com","We help companies build remarkable customer experiences with a CRM platform that’s designed for scale.","6216","1001","5000","614910","HubSpot is a leading CRM platform that provides software and support to help businesses grow better. Our platform includes marketing, sales, service, and website management products that start free and scale to meet our customers’ needs at any stage of growth. Today, thousands of customers around the world use our powerful and easy-to-use tools and integrations to attract, engage, and delight customers.  HubSpot was named Glassdoor’s #4 Best Place to Work in 2021, and our award-winning culture has been recognized by Great Place to Work, Comparably, Fortune, Entrepreneur, Inc., and more. We build connections, careers, and employee growth by creating a workplace that values flexibility, autonomy, and transparency. You can learn more about our commitment to creating an inclusive and diverse workplace in the HubSpot Culture Code.  We are headquartered in Cambridge, MA with offices in Dublin, Ireland; Singapore; Sydney, Australia; Tokyo, Japan; Berlin, Germany; Paris, France; Bogotá, Colombia; Ghent, Belgium; San Francisco, CA; Portsmouth, NH; and hundreds of our employees work fully remotely around the world.  To learn more about HubSpot, visit www.hubspot.com and to join our team, visit www.hubspot.com/careers","2006","US","Cambridge","Massachusetts","25 1st St",,"02141","Internet","Marketing,Analytics,Software,Platform,SEO,Email Marketing,Marketing Automation,Customer Support,Customer Service,social media,inbound marketing,internet marketing,online marketing,web marketing,blogging,sales,inbound sales,customer relationship management,help desk software,customer code,culture code",,"2021-08-30T16:16:30.424Z","2021-09-02T22:33:11.208Z","444889c44d54eec42361353a434932b1"
"huenei-it-services","huenei-it-services","102047","11045","https://www.linkedin.com/company/huenei-it-services/","Huenei IT Services","https://media-exp1.licdn.com/dms/image/C4D0BAQFm-FJzhcyTtQ/company-logo_400_400/0/1625165545109?e=1638403200&v=beta&t=Vi9foxGe99PkBkoCY64aDWpHAPQsub7-nhGaWzJyr1E","PRIVATELY_HELD","+1 408 520 9334","http://www.huenei.com","To Get There. Together.","199","201","500","11735","Software tailored to your needs  Whether you need business software development, a customized product, or a mobile application, we can provide you with top-quality, timely solutions.  At Huenei, we believe in challenging the status quo, we believe in thinking differently with curious and agile mindset. We co-create exceptional software solutions that help our customers to accelerate their own digital transformation.  We just happened to help to turn our customers´ ideas into reality.","1995","AR","Buenos Aires",,"Florida 165","Galería Güemes, Piso 2, Entrada Cangallo","C1005AAC","Information Technology & Services","AI,Software Development,Staff Augmentation,Blockchain,Machine Learning,UX,Cloud Services,Mobile development,Software testing,Nearshore software development,IT infrastructure,Nearshore services,Dedicated Teams,UI,Data Lakes",,"2021-08-30T16:16:30.424Z","2021-09-02T22:33:35.708Z","dfb3390d75ba31ec2b38fb4b28ad458c"
"humana-ab","humana-ab","2410693","11046","https://www.linkedin.com/company/humana-ab/","Humana AB","https://media-exp1.licdn.com/dms/image/C4E0BAQH-ZA6ik8P2vw/company-logo_400_400/0/1534853024789?e=1638403200&v=beta&t=4yzOOI0yPbnnsZCH67NF8hm8J6FvVcntLu6QqNOD2-Q","PRIVATELY_HELD",,"http://www.humana.se","Ett ledande nordiskt omsorgsföretag som arbetar för allas rätt till ett bra liv.","1718","10001",,"8962","Humana är ett ledande nordiskt omsorgsföretag som erbjuder tjänster inom individ- och familjeomsorg, personlig assistans, äldreomsorg och bostäder med särskild service enligt LSS.   Humana har cirka 16 000 engagerade medarbetare i Sverige, Norge, Finland och Danmark som utför omsorgstjänster till  9 000 människor. Vi arbetar efter visionen ""Alla har rätt till ett bra liv""​.  2018 uppgick rörelseintäkterna till 6 725 MSEK. Humana är börsnoterat på Nasdaq Stockholm sedan 2016 och har huvudkontor i Stockholm.   Läs mer på www.humana.se eller corporate.humana.se ",,"SE","Stockholm",,"Warfvinges väg 39, 7tr",,"112 51","Hospital & Health Care","Personlig assistans,Äldreomsorg,Individ och familjeomsorg,Särskola och korttidsverksamhet,Bostäder med särskild service enligt LSS,Särskilt boende,HVB ,Äldreboende,Omsorg",,"2021-08-30T16:16:30.424Z","2021-09-02T22:34:34.326Z","82d4dbf9500bddb9cb5d4c975e939a60"
"hydrogen-group","hydrogen-group","46648","11047","https://www.linkedin.com/company/hydrogen-group/","Hydrogen Group","https://media-exp1.licdn.com/dms/image/C560BAQFd4tKARW43kA/company-logo_400_400/0/1546449813967?e=1638403200&v=beta&t=aM6KPEkKY7Hr6g3jz_eqkJn02S05KGW3EIxWK3QEjeg","PRIVATELY_HELD","+44 (0)20 7002 0000","https://www.hydrogengroup.com","We empower people to fulfil their potential. We build teams, power businesses and we help them all to change the world.","438","201","500","262953","Not afraid to fall over or jump higher, nor afraid to dream BIG, we believe in people and teams - and their ability to achieve great things. We exist to empower people to fulfil their potential; we build teams, we power businesses and we help them all to change the world.   Watch the video to find out more: https://youtu.be/uXBzplQrJlQ   Hydrogen Group is a global specialist recruitment business, placing exceptional, hard to find candidates in over 70 countries. Our joined up practices combine international reach with local expertise and specialist knowledge, and cover the areas of:   • Life Sciences  & Pharmaceuticals  • Oil & Gas  • Business Transformation & Change  • Legal  • Technology & Data Analytics  • Accounting & Finance  • Marketing & Business Development  • Procurement  Whilst many specialist recruiters are location focused, we believe the best way to support our clients and candidates is to base our offering around our global practices.  It's through our leading-edge technology and joined-up processes within these practices that our consultants are able to operate globally, finding the right candidates for specialist roles, regardless of location.","1997","GB","London","Greater London","30 Eastcheap",,"EC3M 1HD","Staffing & Recruiting","Technology,Life Sciences,Legal,Business Transformation,Procurement,Accounting & Finance,Sales & Marketing,Financial Crime & Compliance,Energy",,"2021-08-30T16:16:30.424Z","2021-09-02T22:34:38.533Z","fa45a59eda059c8c0ca1bdc8e2bf7f6a"
"idfcfirstbank","idfcfirstbank","21175","11048","https://www.linkedin.com/company/idfcfirstbank/","IDFC FIRST Bank","https://media-exp1.licdn.com/dms/image/C510BAQFTSvld42aE8g/company-logo_400_400/0/1548142087353?e=1638403200&v=beta&t=7hWEunhnzdBuUIhlBaqZAyX3S5O_p64vLf3ppuMvr3M","PUBLIC_COMPANY",,"http://www.idfcfirstbank.com/",,"17850","10001",,"612990","IDFC FIRST Bank was founded by the merger of IDFC Bank and Capital First in December 2018. The Bank provides a range of financial solutions to individuals, small businesses and corporates. The Bank offers savings and current accounts, NRI accounts, salary accounts, demat accounts, fixed and recurring deposits, home and personal loans, two wheeler loans, consumer durable loans, small business loans, forex products, payment solutions and wealth management services. IDFC FIRST Bank has a nationwide presence and operates in the Retail Banking, Wholesale Banking and other banking segments. Customers can choose where and how they want to bank: 351 bank liability branches, 103 asset branches, 216 ATMs and 534 rural business correspondent centres across the country, net banking, mobile banking and 24/7 toll free Banker-on-Call service","2015","IN","Mumbai","Maharashtra","C-32, G-Block,","Bandra-Kurla Complex, Bandra (East),","400 051","Banking","Commercial & Wholesale Banking,Consumer financing,Banking Services,Retail Banking,Investment Banking,Project Financing",,"2021-08-30T16:16:30.424Z","2021-09-02T22:34:41.787Z","381155380c0ee7dab8c53b6f62decb45"
"inawisdom","inawisdom","10931830","11049","https://www.linkedin.com/company/inawisdom/","Inawisdom","https://media-exp1.licdn.com/dms/image/C4D0BAQGXQosBWqzwEg/company-logo_400_400/0/1546422212395?e=1638403200&v=beta&t=KtoRUX64L-Og8B78iFXisdJA5P05wkpFIsfboOIRyp8","PUBLIC_COMPANY",,"https://www.inawisdom.com","Inawisdom is an all-in AWS Premier Consulting Partner and Machine Learning Partner of the Year 2020. ","98","51","200","2583","Inawisdom is a leading specialist in Artificial Intelligence (AI) and Machine Learning (ML). We enable customers to rapidly discover and deliver business differentiation from their data assets to drive true value. Inawisdom is an Amazon Web Services (AWS) Premier Consulting Partner and Machine Learning Global Launch Competency Partner, serving global businesses in a broad range of industries, across UK and EMEA.  Inawisdom was founded in 2016 by CEO Neil Miles, CTO Robin Meehan and its Chairman, Julian Harris. Inawisdom has experienced significant growth and now employs a large team of highly talented individuals with vast Amazon Web Services (AWS) experience built up over many years.  Founded with a simple goal to give its customers the ability to exploit every aspect of their data using Artificial Intelligence, Inawisdom has a market leading specialism in Artificial Intelligence and Machine Learning, along with practical experience in deploying these leading services across a number of business domains and innovative use cases.  Inawisdom has a presence in London, Ipswich and Rotterdam, with increased operational capabilities across Benelux and the Middle East.    Inawisdom was acquired by Cognizant in December 2020.","2016","GB","Ipswich","Suffolk","Adastral Park","Martlesham Heath","IP5 3RE","Information Technology & Services","Artificial Intelligence,DevOps,Data Analytics,Data Engineering,Machine Learning,cloud computing,Amazon Web Services,Elastic,Big data technologies",,"2021-08-30T16:16:30.424Z","2021-09-02T22:35:31.693Z","9e20bfd7122b562409094f9da8610930"
"indiabioscience","indiabioscience","13367252","11050","https://www.linkedin.com/company/indiabioscience/","IndiaBioscience","https://media-exp1.licdn.com/dms/image/C560BAQG94AE00q90vw/company-logo_400_400/0/1519864016752?e=1638403200&v=beta&t=vM6XFldO-65QzP1Lu452NIerAFUiQgy8D5bVn-Wsvpk","NON_PROFIT",,"https://indiabioscience.org","Engaging communities, Enabling change","10","2","10","10561","IndiaBioscience, a non-profit program, fills a unique niche in the ecosystem of the life sciences in India, being a catalyst to promote changes that affect the culture and practice of the field, through engagement with academia, government and industry at various levels. IndiaBioscience aims to increase the visibility of science in society, by being a hub for policy discussions, science communication, and as an aggregator of information. IndiaBioscience has been nurtured within the campus of the National Centre for Biological Sciences, Bangalore, but our mandate is broad-based in serving the life science profession across India.",,"IN","Bangalore"," Karnataka","IndiaBioscience  ","National Centre for Biological Sciences,  GKVK Campus, Bellary Road   "," 560065","Biotechnology","Education,Networking,Science Communication,Skill Building,Data & Policy",,"2021-08-30T16:16:30.424Z","2021-09-02T22:35:35.326Z","4d9a74311232130b701423fb95c0a1b5"
"insight-global","insight-global","11056","11051","https://www.linkedin.com/company/insight-global/","Insight Global","https://media-exp1.licdn.com/dms/image/C4D0BAQEPIZwBWHN9DA/company-logo_400_400/0/1625151854957?e=1638403200&v=beta&t=swuWU3z3vLEvkam25OexVtTLkI24RjZ-jRO51RDtjI4","PRIVATELY_HELD",,"https://www.insightglobal.com","A staffing company dedicated to empowering people.","9784","1001","5000","423924","We aren’t just a staffing company. We’re a company that cares for others. It might sound lofty, but it's the idea that gets us up everyday, determined to make it true. Insight Global is a company that people can anchor to in moments of triumph, struggle, and every time in between. Whoever you are and wherever you come from, you matter to us and we have your back. Together, anything is possible.","2001","US","Atlanta","Georgia","1224 Hammond Drive","Suite 1500","30346","Staffing & Recruiting","IT Staffing,Recruiting,healthcare,Managed Services,Accounting and Finance staffing,sales,Engineering Staffing,Government Staffing,IT Outsourcing,Recruitment Processing Outsourcing (RPO),Enhanced Staffing Solutions (ESS),Consultative Services,Project & Program Management,Job Placement,Contract Opportunities,Jobs,Careers",,"2021-08-30T16:16:30.424Z","2021-09-02T22:36:54.355Z","bce3c959196e605ba4f23b13df2f0b67"
"inspireenergy","inspireenergy","3584609","8779","https://www.linkedin.com/company/inspireenergy/","Inspire","https://media-exp1.licdn.com/dms/image/C560BAQFjI10VPeQ0Cw/company-logo_400_400/0/1625149167444?e=1638403200&v=beta&t=2zyaKNDA91B1q0w8x8xKBjQ_U7v3PAQkshSorXFHefU","PRIVATELY_HELD","866-403-2620","http://www.inspirecleanenergy.com","Transforming the way people access clean energy and accelerating the world toward a net-zero carbon future.  ","188","51","200","7900","Inspire is a clean energy technology company on a mission to transform the way people access clean energy and accelerate the world toward a net-zero carbon future. Through a subscription model, Inspire allows customers to access 100% clean energy for one flat monthly price. Now customers can pay one flat rate for their electricity supply each month, while supporting a more sustainable future.  Founded in 2014, Inspire has made it easy for hundreds of thousands of households to access clean energy, reduce their reliance on fossil fuels, and join in the fight against climate change.  Customer Support: membersupport@@inspirecleanenergy.com or call  (866) 403-2620  Candidates can check out the careers page on our site: https://www.inspirecleanenergy.com/working-at-inspire","2014","US","Santa Monica","California","3402 Pico Blvd","Floor 2","90405","Renewables & Environment","renewable energy,Green energy,Wind Power,Renewables,Clean Power,Smart Home,Real Estate Data and Valuation",,"2021-08-30T16:16:30.424Z","2021-09-02T22:38:26.479Z","4aec0f2723d9eb2f166669c0736e3fb2"
"instabox-ab","instabox-ab","10270668","11053","https://www.linkedin.com/company/instabox-ab/","Instabox","https://media-exp1.licdn.com/dms/image/C4D0BAQEXCGsqAZVpYA/company-logo_400_400/0/1528714758158?e=1638403200&v=beta&t=qiguXOMDCHuSrgrNfqwFET4xGOSRo0JAMAqC-zYr_m0","PRIVATELY_HELD","+46102069001","http://instabox.io/","Uncomplicated shipping.","281","201","500","6063","Uncomplicated shipping.","2015","SE","Stockholm","Stockholm County","Medborgarplatsen 3",,"118 26","Logistics & Supply Chain",,,"2021-08-30T16:16:30.424Z","2021-09-02T22:39:23.620Z","7bb29de17f50de68c0b0c271722855e4"
"insync-staffing","insync-staffing","2294627","11054","https://www.linkedin.com/company/insync-staffing/","inSync Staffing","https://media-exp1.licdn.com/dms/image/C4E0BAQG1aTmZCHJK0w/company-logo_400_400/0/1519907249449?e=1638403200&v=beta&t=RiG1yW1yMdNHiVr4bXOwfJim5E6XOVyqmF3mt5v5tkU","PRIVATELY_HELD",,"http://www.insyncstaffing.com",,"83","501","1000","7586","inSync Staffing provides Vendor Managed Services (VMS/MSP) Workforce Management Programs nationally   inSync Staffing has one clear mission....to make sure that you, our customer, who runs contingent workforce management programs get the quality recruiting support you need to exceed the expectations of your customer.  We believe in the future of workforce management companies and we believe there is a way to serve you better than traditional staffing companies typically do. Our model allows us to present the best candidates faster and within budget. We combine the staff, processes, technologies, resources and philosophy to provide you with the best possible outcome.    inSync's Performance within the first year of operation: ● inSync successfully filled positions in 37 states in job categories that include Accounting/Finance, Administrative, Customer Service, Clinical/Scientific/Healthcare, Engineering, Human Resources, IT/Technology, LI/MFG, and Marketing/Sales. ● inSync exceeded plan by 133% with a start-up team in a challenging economy   inSync Staffing  We recruit for contract, consulting temporary, temp to direct, long term and direct positions for the following job categories: ● Accounting and Finance ● Administrative ● Customer Service ● Engineering ● HR ● Manufacturing ● Marketing/Sales ● IT ● Operations ● Scientific/Clinical ● Technology","2011","US","Manchester","NH","25 Sundail Ave",,"03103","Staffing & Recruiting",,,"2021-08-30T16:16:30.424Z","2021-09-02T22:40:34.044Z","ca79eef71ccac4a066e142180347b8fd"
"intelipost","intelipost","3665703","11055","https://www.linkedin.com/company/intelipost/","Intelipost","https://media-exp1.licdn.com/dms/image/C4D0BAQE4Lsi6gZvuKg/company-logo_400_400/0/1597266712720?e=1638403200&v=beta&t=84VP14jxPAP5Rj3Q_rb9TALd5v7UzFLcSyZeJzm84Z4","PRIVATELY_HELD",,"http://www.intelipost.com.br","Brazil’s leading e-commerce and omnichannel logistics technology company","242","201","500","12178","Intelipost is an enterprise SaaS for Logistics that allows shippers to reduce costs, increase control and improve results.  Intelipost is an online platform that enables users to handle the entire shipping process. Users can hire carries and facilitate the approach; freight quotes in real time and rules adapted to each business; and track deliveries and generate insights through automated intelligence solutions for each delivery","2014","BR","São Paulo","São Paulo","Rua Bela Cintra, 1149",,"01302-001","Logistics & Supply Chain","E-commerce,SaaS,Cloud,Logística,Gateway de Logística,Loja Virtual,fretes,gestão logística",,"2021-08-30T16:16:30.424Z","2021-09-02T22:40:47.727Z","bf0a8e726ad4120c6dcc17a9ee2b9aab"
"interworks","interworks","204575","9208","https://www.linkedin.com/company/interworks/","InterWorks","https://media-exp1.licdn.com/dms/image/C4D0BAQEgp4EBk8lpgA/company-logo_400_400/0/1625581365881?e=1638403200&v=beta&t=1jAotxOxgXGGfW5HRFPcyM4OiDz5tJIUF0bLDUMR_iU","PRIVATELY_HELD",,"http://www.interworks.com","InterWorks is a people-focused tech consultancy that guides clients with premier service and expertise. ","236","201","500","10950","InterWorks is a people-focused tech consultancy delivering premier service and expertise in collaboration with strategic partners. We are trusted to empower clients with the right people and solutions aligned to their unique needs. From data management and visualization to server monitoring and maintenance, we can customize the best data and IT solutions for you.","1996","US","Stillwater","OK","1425 S. Sangre Road",,"74074","Information Technology & Services","IT Services,Data Management,Business Intelligence Consulting,Tableau Training,Tableau Consulting,Visual Analytics,System Infrastructure",,"2021-08-30T16:16:30.424Z","2021-09-02T22:41:29.479Z","d2e58d3984fb393c7db6cf520dc8dea0"
"invitation-homes","invitation-homes","2780388","11056","https://www.linkedin.com/company/invitation-homes/","Invitation Homes","https://media-exp1.licdn.com/dms/image/C4E0BAQHIxtrfLgAIdg/company-logo_400_400/0/1548443201758?e=1638403200&v=beta&t=4TeaiVYCmcqy232NXFUEZRhHt9VP9RXPHtIb4SvqExk","PUBLIC_COMPANY",,"https://www.invitationhomes.com","The nation's leader in home leasing.","1007","1001","5000","16508","Invitation Homes is the top home leasing company for single families. With over 80,000 homes in our portfolio, we currently provide homes to 120,000 residents in 16 of the top American markets.   Our homes bring numerous benefits to our residents. Located in some of the most desirable neighborhoods in the country, our residents enjoy the proximity of our homes to great schools. All of our homes are directly owned by Invitation Homes and are regularly renovated and updated.   Each of our homes is professionally managed by one of our experienced local property managers. Our team’s unmatched knowledge of residential property, combined with our financial stability and entrepreneurial vision, has enabled Invitation Homes to lead the way in today's single-family rental market.   Our corporate office is located in downtown Dallas, TX. We also have regional offices in Phoenix, AZ, Sacramento, CA, Los Angeles, CA, Dallas, TX, Houston, TX, Denver, CO, Las Vegas, NV, Seattle, WA, Chicago, IL, Atlanta, GA, Charlotte, NC, Miami, FL, Orlando, FL, Jacksonville, FL, Tampa, FL, and Minneapolis, MN. ","2012","US","Dallas","Texas","1717 Main Street","Suite 2000","75201","Real Estate","real estate,property management,Single Family Home Leasing",,"2021-08-30T16:16:30.424Z","2021-09-02T22:41:33.702Z","3a7d23e7b2f5491473d86c5c37d0dfc7"
"io173","io173","40841745","11057","https://www.linkedin.com/company/io173/","io173","https://media-exp1.licdn.com/dms/image/C560BAQG9MFsrgNxzSA/company-logo_400_400/0/1575383396348?e=1638403200&v=beta&t=EMVfQ8yqeispYNcMZFVuJVe1SV-p7-7yTK8bcyn3MzA","PRIVATELY_HELD",,"http://www.io173.com","Build - Scale - Grow with io","10","2","10","8718","io 173 are a dedicated recruitment company with a proven track record of rapidly, building and growing technology practices from scratch.  Our aim is to assist companies move in to new and innovative technology spaces or to grow their delivery capabilities in markets they are already established in.  Artificial Intelligence - Machine Learning - RPA - Robotic Process Automation - UiPath - DataScience - MuleSoft - Development - Integration and Platform Architecture","2019","GB","London","london",,,"london","Staffing & Recruiting",,,"2021-08-30T16:16:30.424Z","2021-09-02T22:41:37.303Z","5334ff4490010df69c9df26c47aa5837"
"iptiq","iptiq","15073937","11058","https://www.linkedin.com/company/iptiq/","iptiQ by Swiss Re","https://media-exp1.licdn.com/dms/image/C560BAQHuYB85hpPQ8g/company-logo_400_400/0/1519911652332?e=1638403200&v=beta&t=7ywz8CflBew73p5PfPWuUGgHNxFp_ATolU3AwMfLP6w","SELF_OWNED",,"http://www.iptiq.com","Transforming insurance. Powering your progress.","526","201","500","10567","We’re transforming the experience of buying insurance by providing our clients with a revolutionary digital insurance engine and world-class underwriting capabilities. Backed by 150+ years of expertise from Swiss Re, iptiQ creates best in-class, intuitive purchase experiences for your customers. Our solutions are delivered quickly and affordably so that you can fast-track your insurance business. Interested in a career with us? Apply today:  https://careers.swissre.com/go/iptiQ/3934001/  To learn more about becoming a partner, please visit our website.","2014","CH","Zurich","ZH","50/60 Mythenquai",,"8022","Insurance","Technology,Insurance,Customer Service,insurtech,Life Insurance,Digitalization,B2B2C,protection ,underwriting,administration,term life,disability,critical illness,optimization,property and casualty",,"2021-08-30T16:16:30.424Z","2021-09-02T22:41:41.335Z","9027aeeef991f014383d094563ef7a4d"
"iq-eq","iq-eq","286379","11059","https://www.linkedin.com/company/iq-eq/","IQ-EQ","https://media-exp1.licdn.com/dms/image/C4D0BAQHJ3Zmolq82Og/company-logo_400_400/0/1553501038050?e=1638403200&v=beta&t=TZYQ0FI096G2Iawbzgt79TGFJz67GNv5EdeA8WTwmkM","PRIVATELY_HELD",,"http://www.iqeq.com","Know how, know you","2191","1001","5000","58787","We are IQ-EQ, a leading investor services group employing 3400+ people across 23 jurisdictions worldwide. We bring together that rare combination of global technical expertise and a deep understanding of our clients' needs.   We have the know how and the know you to deliver for our clients - fund managers, multinational companies, family offices and private clients operating worldwide.","1896","LU","Luxembourg",,"412F, route d'Esch",,"L-2086","Financial Services","corporate administration services,family office services,global accountings, consolidation & tax compliance services,global support solutions in Plug&Play mode,fund administration services,depositary, custody & securitization services,3rd party AIFM,private clients,corporates,investor solutions",,"2021-08-30T16:16:30.424Z","2021-09-02T22:42:54.411Z","13c648f150540d117da595c0fabe9fa5"
"itential","itential","9338797","11060","https://www.linkedin.com/company/itential/","Itential","https://media-exp1.licdn.com/dms/image/C4D0BAQFHwk9TZP57jg/company-logo_400_400/0/1607626325939?e=1638403200&v=beta&t=-99nvT2R6pAOHFquwjhsSkHSnNrnuiqETNFk4Pistr8","PRIVATELY_HELD",,"http://www.itential.com","Intelligent Automation for Multi-Domain Networks","197","51","200","5126","Itential provides powerful network automation software to companies worldwide, from Fortune 500 telecommunications and financial services companies to enterprises of all sizes. Itential helps customers achieve new competitive advantages and accelerate digital transformation initiatives through intelligent automation. The Itential Automation Platform is a low-code, scalable, and feature-rich network automation solution for physical, virtual, and cloud networks. It’s vendor agnostic solution seamlessly connects to any system such as IT Service Management, OSS, inventory, analytics, and orchestra0on tools for end-to-end and closed-loop network automation capabilities.","2014","US","Atlanta","GA","1350 Spring Street NW","Suite 200","30309","Computer Software","SDN & NFV Solutions,Network Automation,Service Management,Network Management,Network Configuration and Change Managment,Intent-Based Networking,Multi-Domain Network Automation,Network Programmability,Cloud Automation,Network Compliance,Low-Code Automation,Enterprise Networking",,"2021-08-30T16:16:30.424Z","2021-09-02T22:44:16.352Z","a5638e09fedc633e48d0549c6b07dd2c"
"jettisonit","jettisonit","1404437","11061","https://www.linkedin.com/company/jettisonit/","Jettison","https://media-exp1.licdn.com/dms/image/C4E0BAQEWlda3uDEWpQ/company-logo_400_400/0/1531245115592?e=1638403200&v=beta&t=qivT1JvLOLu5C3DCFTi8TFhffZDEeEVHUtRseX_66HI","PRIVATELY_HELD",,"http://www.jettison.com","At Jettison we bring bold thinking and a desire to be the best.","28","51","200","7658","Jettison consultants combine industry experience and a pragmatic, results-driven approach to go well beyond giving advice.  We collaborate with you to solve problems, complete objectives, and grow your business.  Over 80 percent of our engagements are with long-standing clients. Our clients range in size from visionary start-ups to Fortune 100 companies. Across all industries, sizes, and cultures, we have one focus:  growth through strategic execution.","2008","US","Mundelein","Illinois","25775 Hillview Ct",,"60060","Information Technology & Services",,,"2021-08-30T16:16:30.424Z","2021-09-02T22:45:22.013Z","6827bff58820e9b580da6270b1a5ffc7"
